species,site,year,visit,date,count
hl,LU9A,2021,3,30/08/2021,10
hl,LU9A,2021,4,1/09/2021,6
pa,AU10A,1992,1,7/08/1992,0
pa,AU10A,1992,2,11/08/1992,0
pa,AU10A,1992,3,28/08/1992,0
pa,AU10A,1992,4,9/11/1992,0
pa,AU10A,1992,5,12/11/1992,0
pa,AU10A,1992,6,27/11/1992,0
pa,AU10A,1993,1,4/03/1993,0
pa,AU10A,1993,2,9/03/1993,0
pa,AU10A,1993,3,22/03/1993,0
pa,AU10A,1993,4,7/06/1993,0
pa,AU10A,1993,5,23/06/1993,0
pa,AU10A,1994,1,3/03/1994,0
pa,AU10A,1994,2,6/03/1994,0
pa,AU10A,1994,3,10/03/1994,0
pa,AU10A,1994,4,7/04/1994,0
pa,AU10A,1994,5,9/04/1994,0
pa,AU10A,1994,6,13/04/1994,0
pa,AU10A,1994,7,12/11/1994,0
pa,AU10A,1994,8,16/11/1994,0
pa,AU10A,1994,9,17/11/1994,0
pa,AU10A,1997,1,10/12/1997,0
pa,AU10A,1997,2,11/12/1997,1
